phenotype	true_marker	peak_marker	max_lod	cutoff	non_missing_count	type	pos	chr	pos1	pos2	midpos	gchr	gpos1	gpos2	gposmid
X1_10440000_10445000	1_2623	1_2623	6.77161888795916	2.9925887207975	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	10440000	10445000	10442500
X1_11855000_11860000	1_2623	c1.loc185	15.7116543827107	3.06684977870773	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	11855000	11860000	11857500
X1_12565000_12570000	1_2623	1_2623	2.86665182137281	2.26060123876804	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	12565000	12570000	12567500
X1_14040000_14045000	1_2623	1_2623	5.26403786619437	2.99109753493412	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	14040000	14045000	14042500
X1_15525000_15530000	1_2623	1_2623	3.11061492432377	2.81128387441244	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	15525000	15530000	15527500
X1_16615000_16620000	1_2623	c1.loc186	11.3271840057059	2.73262073246909	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	16615000	16620000	16617500
X1_19520000_19525000	1_2623	1_2623	6.40944917425665	2.98274668299158	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	19520000	19525000	19522500
X1_21010000_21015000	1_2623	c1.loc186	8.86770204618698	2.86853801929032	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	21010000	21015000	21012500
X1_22250000_22255000	1_2623	c1.loc186	4.00553314867436	2.87522716108618	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	22250000	22255000	22252500
X1_22325000_22330000	1_2623	c1.loc186	16.4544344628746	3.12547393852214	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	22325000	22330000	22327500
X1_22460000_22465000	1_2623	c1.loc185	9.18747211539053	3.01375537053598	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	22460000	22465000	22462500
X1_22670000_22675000	1_2623	1_2623	6.94667366590866	2.90784197071005	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	22670000	22675000	22672500
X1_22965000_22970000	1_2623	c1.loc185	14.4371657066122	2.99922397278105	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	22965000	22970000	22967500
X1_23030000_23035000	1_2623	c1.loc185	12.9316504647609	2.97169772431966	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	23030000	23035000	23032500
X1_23050000_23055000	1_2623	1_2623	5.26080454004151	2.86590238113049	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	23050000	23055000	23052500
X1_23055000_23060000	1_2623	c1.loc185	5.51732000748362	2.76125601788532	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	23055000	23060000	23057500
X1_23800000_23805000	1_2623	c1.loc186	17.8227833402563	2.94494643589402	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	23800000	23805000	23802500
X1_23970000_23975000	1_2623	1_2623	13.0260736090935	2.85270749014245	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	23970000	23975000	23972500
X1_24090000_24095000	1_2623	c1.loc186	15.0575586253216	3.03778872988822	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	24090000	24095000	24092500
X1_24470000_24475000	1_2623	c1.loc186	10.6499237868662	3.04854918937426	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	24470000	24475000	24472500
X1_24505000_24510000	1_2623	c1.loc186	9.69248685099413	2.89073259549313	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	24505000	24510000	24507500
X1_24510000_24515000	1_2623	c1.loc186	13.0094642205213	2.99718531606261	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	24510000	24515000	24512500
X1_24555000_24560000	1_2623	c1.loc186	10.3757612429588	3.02399958049306	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	24555000	24560000	24557500
X1_24590000_24595000	1_2623	1_2623	7.57744704221852	3.03866551049506	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	24590000	24595000	24592500
X1_2490000_2495000	1_2623	c1.loc186	5.77893254971743	2.99600200976652	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	2490000	2495000	2492500
X1_25210000_25215000	1_2623	c1.loc186	11.7707606519423	2.95756703499512	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	25210000	25215000	25212500
X1_25330000_25335000	1_2623	c1.loc186	12.3563797504335	2.91812633274668	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	25330000	25335000	25332500
X1_30255000_30260000	1_2623	c1.loc186	3.94147947583866	2.97627741063053	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	30255000	30260000	30257500
X1_4200000_4205000	1_2623	c1.loc185	7.33987602095679	2.999355689314	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	4200000	4205000	4202500
X1_6075000_6080000	1_2623	c1.loc185	7.81509617026318	2.8498428964315	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	6075000	6080000	6077500
X1_6525000_6530000	1_2623	c1.loc185	4.27939799886228	3.02794302515219	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	6525000	6530000	6527500
X1_7260000_7265000	1_2623	c1.loc186	3.9783906303831	2.99363581755578	68	Y	1-24598560_1-24981843	1	24598560	24981843	24790201.5	1	7260000	7265000	7262500
